Дата;Инфляция, % г/г
03.2026;5,86
02.2026;5,91
01.2026;6,00
12.2025;5,59
11.2025;6,64
10.2025;7,71
09.2025;7,98
08.2025;8,14
07.2025;8,79
06.2025;9,40
05.2025;9,88
04.2025;10,23
03.2025;10,34
02.2025;10,06
01.2025;9,92
12.2024;9,52
11.2024;8,88
10.2024;8,54
09.2024;8,63
08.2024;9,05
07.2024;9,13
06.2024;8,59
05.2024;8,30
04.2024;7,84
03.2024;7,72
02.2024;7,69
01.2024;7,44
12.2023;7,42
11.2023;7,48
10.2023;6,69
09.2023;6,00
08.2023;5,15
07.2023;4,30
06.2023;3,25
05.2023;2,51
04.2023;2,31
03.2023;3,51
02.2023;10,99
01.2023;11,77
12.2022;11,94
11.2022;11,98
10.2022;12,63
09.2022;13,68
08.2022;14,30
07.2022;15,10
06.2022;15,90
05.2022;17,10
04.2022;17,83
03.2022;16,69
02.2022;9,15
01.2022;8,73
12.2021;8,39
11.2021;8,40
10.2021;8,13
09.2021;7,40
08.2021;6,68
07.2021;6,50
06.2021;6,50
05.2021;6,00
04.2021;5,50
03.2021;5,80
02.2021;5,70
01.2021;5,20
12.2020;4,90
11.2020;4,40
10.2020;4,00
09.2020;3,70
08.2020;3,60
07.2020;3,40
06.2020;3,20
05.2020;3,00
04.2020;3,10
03.2020;2,50
02.2020;2,30
01.2020;2,40
12.2019;3,00
11.2019;3,50
10.2019;3,80
09.2019;4,00
08.2019;4,30
07.2019;4,60
06.2019;4,70
05.2019;5,10
04.2019;5,20
03.2019;5,30
02.2019;5,20
01.2019;5,00
12.2018;4,30
11.2018;3,80
10.2018;3,50
09.2018;3,40
08.2018;3,10
07.2018;2,50
06.2018;2,30
05.2018;2,40
04.2018;2,40
03.2018;2,40
02.2018;2,20
01.2018;2,20
12.2017;2,50
11.2017;2,50
10.2017;2,70
09.2017;3,00
08.2017;3,30
07.2017;3,90
06.2017;4,40
05.2017;4,10
04.2017;4,10
03.2017;4,30
02.2017;4,60
01.2017;5,00
12.2016;5,40
11.2016;5,80
